"id","venue","race_number","horse_name","horse_number","barrier","jockey","trainer","odds_open","odds_flag","odds_fixed_close","odds_tote","odds_place","move_percent","scratchings","result","created_at","updated_at"
3722,"Rosehill",8,"Zumbelina",13,1,"G Schofield","C J Waller",6.00,3.80,4.20,4.15,1.50,9.65,3,1,"2017-09-09 09:25:10","2017-09-09 09:25:10"
3762,"Doomben",9,"Publishing Power",2,11,"M Pegus","Ben Currie",9.00,5.00,6.00,0.00,1.95,8.89,5,NULL,"2017-09-09 09:40:10","2017-09-09 09:40:10"
3775,"Armidale",6,"Mr Haar",3,2,"M Paget","A D Mchardie",6.00,4.40,4.40,0.00,1.70,6.06,1,NULL,"2017-09-09 09:45:11","2017-09-09 09:45:11"
3776,"Dalby",7,"Try 'N' Catch Me",5,1,"S Apthorpe","M A Kropp",7.50,3.10,4.20,0.00,2.05,18.92,5,2,"2017-09-09 09:45:11","2017-09-09 09:45:11"
3777,"Moonee Valley",8,"He's Our Rokkii",5,1,"Dwayne Dunn","D & B Hayes & T Dabernig",3.70,3.00,5.50,0.00,1.95,6.31,2,NULL,"2017-09-09 09:45:12","2017-09-09 09:45:12"
3787,"Kembla Grange",8,"Dashley Dubh",10,1,"W Costin","M P Tubman",8.00,5.00,4.00,4.04,1.45,7.50,4,1,"2017-09-09 09:50:10","2017-09-09 09:50:10"
3804,"Morphettville",7,"Oberland",8,3,"J Mcneil","D K Weir",5.00,3.60,6.50,0.00,2.20,7.78,1,NULL,"2017-09-09 10:00:10","2017-09-09 10:00:10"
3812,"Kilmore",9,"Storm Approach",4,4,"Not Notified","L J Lake",8.00,4.80,3.80,0.00,1.60,8.33,7,2,"2017-09-09 10:05:11","2017-09-09 10:05:11"
3813,"Rosehill",9,"Galaxy Warrior",16,13,"R King","Ms G Williams",18.00,8.00,8.50,0.00,2.70,6.94,2,NULL,"2017-09-09 10:05:12","2017-09-09 10:05:12"
3819,"Belmont",5,"Ihtsahymn",2,7,"D Staeck","F R Kersley",34.00,11.00,17.00,0.00,5.50,6.15,1,3,"2017-09-09 10:10:13","2017-09-09 10:10:13"
3828,"Moonee Valley",9,"Stampede",3,8,"B Mertens","G Waterhouse & A Bott",8.50,4.80,4.40,4.46,1.80,9.07,1,1,"2017-09-09 10:20:11","2017-09-09 10:20:11"
3835,"Pioneer Park",4,"Flying Tormenta",1,4,"R Vigar","J W Peacock",10.00,6.00,7.00,0.00,2.70,6.67,0,4,"2017-09-09 10:30:14","2017-09-09 10:30:14"
3858,"Belmont",7,"Outlaw Pete",1,2,"C Johnston-Porter","T M Andrews",19.00,8.50,8.00,0.00,2.40,6.50,0,NULL,"2017-09-09 11:25:13","2017-09-09 11:25:13"
3866,"Belmont",8,"Floyd",4,2,"Jarrad Noske","Chris Gangemi",4.40,3.20,2.50,2.57,1.28,8.52,1,1,"2017-09-09 12:00:11","2017-09-09 12:00:11"
4067,"Casterton",1,"Tough Vintage",2,5,"P Hamblin","D J Cannon",26.00,9.00,9.00,0.00,3.00,7.26,0,4,"2017-09-10 04:35:03","2017-09-10 04:35:03"
4134,"Devonport Synthetic",1,"Vivre Star",3,7,"A Darmanin","Rowan Hamer",18.00,6.50,7.00,6.88,3.00,9.83,1,1,"2017-09-10 05:00:04","2017-09-10 05:00:04"
4150,"Sale",1,"Hapuka",3,14,"M Walker","T Busuttin & N Young",13.00,3.80,15.00,0.00,3.60,18.62,5,3,"2017-09-10 05:05:04","2017-09-10 05:05:04"
4267,"Devonport Synthetic",2,"Little Suzie",8,3,"Troy Baker","Scott Brunton",15.00,6.50,7.50,0.00,2.25,8.72,4,NULL,"2017-09-10 05:40:03","2017-09-10 05:40:03"
4288,"Sale",2,"Basanite",11,9,"K Forrester","R E Laing",11.00,6.00,6.00,0.00,1.95,7.58,3,4,"2017-09-10 05:45:03","2017-09-10 05:45:03"
4328,"Casterton",3,"Fulgur",4,6,"R Cully","C Maher",4.40,3.30,3.50,0.00,1.45,7.58,2,NULL,"2017-09-10 05:55:03","2017-09-10 05:55:03"
